system_prompt,user_prompt,raw_tagged_input,raw_structured_input_json,model,checkpoint,adapter_path,phase,pipeline,audio_name,audio_path,reference_transcript,predicted_transcript,raw_model_output,row_wer,row_cer,row_rouge_l,row_token_f1,generation_runtime_sec,audio_duration_sec,error
,Transcribe the English audio into text.,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000000_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210415_130747-A!000625-001150.wav,"{""audio_name"": ""000000_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210415_130747-A!000625-001150.wav"", ""audio_path"": ""/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000000_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210415_130747-A!000625-001150.wav"", ""user_prompt"": ""Transcribe the English audio into text.""}",Qwen3-Omni-30B-A3B-Instruct + native-TP LoRA,Qwen/Qwen3-Omni-30B-A3B-Instruct,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/qwen3_omni_atco2_tp_capacity_v10_4/full10ep/tp_adapter,Post-FT Evaluation,ASR Only,000000_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210415_130747-A!000625-001150.wav,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000000_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210415_130747-A!000625-001150.wav,hotel bravo kilo golf yankee from november good afternoon next report breaking off a city circling three two one,hotel echo golf yankee fiveanta tower afternoon next report breaking off for descending three two one,hotel echo golf yankee fiveanta tower afternoon next report breaking off for descending three two one,,,,,1.46174645004794,,
,Transcribe the English audio into text.,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000001_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210421_094113-A!000000-000705.wav,"{""audio_name"": ""000001_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210421_094113-A!000000-000705.wav"", ""audio_path"": ""/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000001_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210421_094113-A!000000-000705.wav"", ""user_prompt"": ""Transcribe the English audio into text.""}",Qwen3-Omni-30B-A3B-Instruct + native-TP LoRA,Qwen/Qwen3-Omni-30B-A3B-Instruct,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/qwen3_omni_atco2_tp_capacity_v10_4/full10ep/tp_adapter,Post-FT Evaluation,ASR Only,000001_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210421_094113-A!000000-000705.wav,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000001_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210421_094113-A!000000-000705.wav,hotel golf papa unknown v_f_r traffic a helicopter at your eleven o'clock position two miles same altitude opposite direction,hotel golf papa and on we four traffic helicopter at your eleven o'clock position two miles same altitude opposite direction,hotel golf papa and on we four traffic helicopter at your eleven o'clock position two miles same altitude opposite direction,,,,,1.7867337008938193,,
,Transcribe the English audio into text.,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000002_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210416_082152-A!000035-000575.wav,"{""audio_name"": ""000002_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210416_082152-A!000035-000575.wav"", ""audio_path"": ""/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000002_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210416_082152-A!000035-000575.wav"", ""user_prompt"": ""Transcribe the English audio into text.""}",Qwen3-Omni-30B-A3B-Instruct + native-TP LoRA,Qwen/Qwen3-Omni-30B-A3B-Instruct,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/qwen3_omni_atco2_tp_capacity_v10_4/full10ep/tp_adapter,Post-FT Evaluation,ASR Only,000002_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210416_082152-A!000035-000575.wav,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000002_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210416_082152-A!000035-000575.wav,hotel golf papa continue on the runway vacate via charlie then taxi your discretion blue sector,hotel golf papa continue on the runway vacate via charlie then taxi euros question blue sector,hotel golf papa continue on the runway vacate via charlie then taxi euros question blue sector,,,,,1.531272595981136,,
,Transcribe the English audio into text.,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000003_atco2_test-set-v3_en_LSGS_SION_Ground_Control_121_7MHz_20210504_155421-A!000007-000213.wav,"{""audio_name"": ""000003_atco2_test-set-v3_en_LSGS_SION_Ground_Control_121_7MHz_20210504_155421-A!000007-000213.wav"", ""audio_path"": ""/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000003_atco2_test-set-v3_en_LSGS_SION_Ground_Control_121_7MHz_20210504_155421-A!000007-000213.wav"", ""user_prompt"": ""Transcribe the English audio into text.""}",Qwen3-Omni-30B-A3B-Instruct + native-TP LoRA,Qwen/Qwen3-Omni-30B-A3B-Instruct,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/qwen3_omni_atco2_tp_capacity_v10_4/full10ep/tp_adapter,Post-FT Evaluation,ASR Only,000003_atco2_test-set-v3_en_LSGS_SION_Ground_Control_121_7MHz_20210504_155421-A!000007-000213.wav,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000003_atco2_test-set-v3_en_LSGS_SION_Ground_Control_121_7MHz_20210504_155421-A!000007-000213.wav,nav_checker five one one good afternoon,h echo five one one good afternoon,h echo five one one good afternoon,,,,,0.7064819049555808,,
,Transcribe the English audio into text.,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000004_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210423_081639-A!000012-000646.wav,"{""audio_name"": ""000004_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210423_081639-A!000012-000646.wav"", ""audio_path"": ""/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000004_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210423_081639-A!000012-000646.wav"", ""user_prompt"": ""Transcribe the English audio into text.""}",Qwen3-Omni-30B-A3B-Instruct + native-TP LoRA,Qwen/Qwen3-Omni-30B-A3B-Instruct,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/qwen3_omni_atco2_tp_capacity_v10_4/full10ep/tp_adapter,Post-FT Evaluation,ASR Only,000004_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210423_081639-A!000012-000646.wav,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000004_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210423_081639-A!000012-000646.wav,hotel golf oscar traffic rega helicopter just passed hotel echo joining the left hand heli circuit direction one four,hotel golf oscar traffic echo echo justlie pass hotel echo joining the left hand heli circuit direction one four,hotel golf oscar traffic echo echo justlie pass hotel echo joining the left hand heli circuit direction one four,,,,,1.800336058018729,,
,Transcribe the English audio into text.,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000005_atco2_test-set-v3_en_LSZH_ZURICH_Tower_118_1MHz_20210414_085908-A!000404-000927.wav,"{""audio_name"": ""000005_atco2_test-set-v3_en_LSZH_ZURICH_Tower_118_1MHz_20210414_085908-A!000404-000927.wav"", ""audio_path"": ""/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000005_atco2_test-set-v3_en_LSZH_ZURICH_Tower_118_1MHz_20210414_085908-A!000404-000927.wav"", ""user_prompt"": ""Transcribe the English audio into text.""}",Qwen3-Omni-30B-A3B-Instruct + native-TP LoRA,Qwen/Qwen3-Omni-30B-A3B-Instruct,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/qwen3_omni_atco2_tp_capacity_v10_4/full10ep/tp_adapter,Post-FT Evaluation,ASR Only,000005_atco2_test-set-v3_en_LSZH_ZURICH_Tower_118_1MHz_20210414_085908-A!000404-000927.wav,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000005_atco2_test-set-v3_en_LSZH_ZURICH_Tower_118_1MHz_20210414_085908-A!000404-000927.wav,arrow_jet six zero one tower on foxtrot cross runway one zero contact apron one two one decimal seven five five sorry,hack sy six zero one tower on foxtrot cross runway one zero contact apron one two one decimal seven five five hotel,hack sy six zero one tower on foxtrot cross runway one zero contact apron one two one decimal seven five five hotel,,,,,2.1114691901020706,,
,Transcribe the English audio into text.,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000006_atco2_test-set-v3_en_LKTB_BRNO_Approach-Radar_127_350MHz_20201027_095221-E!000000-000731.wav,"{""audio_name"": ""000006_atco2_test-set-v3_en_LKTB_BRNO_Approach-Radar_127_350MHz_20201027_095221-E!000000-000731.wav"", ""audio_path"": ""/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000006_atco2_test-set-v3_en_LKTB_BRNO_Approach-Radar_127_350MHz_20201027_095221-E!000000-000731.wav"", ""user_prompt"": ""Transcribe the English audio into text.""}",Qwen3-Omni-30B-A3B-Instruct + native-TP LoRA,Qwen/Qwen3-Omni-30B-A3B-Instruct,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/qwen3_omni_atco2_tp_capacity_v10_4/full10ep/tp_adapter,Post-FT Evaluation,ASR Only,000006_atco2_test-set-v3_en_LKTB_BRNO_Approach-Radar_127_350MHz_20201027_095221-E!000000-000731.wav,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000006_atco2_test-set-v3_en_LKTB_BRNO_Approach-Radar_127_350MHz_20201027_095221-E!000000-000731.wav,oscar kilo bravo alfa lima after bukap descend to three thousand feet cleared r_n_p approach runway two seven report established,oscar kilo bravo alfa lima up tur descend two thousand thousand feet cleared to and peiros runway two seven report established,oscar kilo bravo alfa lima up tur descend two thousand thousand feet cleared to and peiros runway two seven report established,,,,,2.1751790491398424,,
,Transcribe the English audio into text.,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000007_atco2_test-set-v3_en_LKPR_RUZYNE_Radar_120_520MHz_20201026_130708-B!000659-000859.wav,"{""audio_name"": ""000007_atco2_test-set-v3_en_LKPR_RUZYNE_Radar_120_520MHz_20201026_130708-B!000659-000859.wav"", ""audio_path"": ""/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000007_atco2_test-set-v3_en_LKPR_RUZYNE_Radar_120_520MHz_20201026_130708-B!000659-000859.wav"", ""user_prompt"": ""Transcribe the English audio into text.""}",Qwen3-Omni-30B-A3B-Instruct + native-TP LoRA,Qwen/Qwen3-Omni-30B-A3B-Instruct,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/qwen3_omni_atco2_tp_capacity_v10_4/full10ep/tp_adapter,Post-FT Evaluation,ASR Only,000007_atco2_test-set-v3_en_LKPR_RUZYNE_Radar_120_520MHz_20201026_130708-B!000659-000859.wav,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000007_atco2_test-set-v3_en_LKPR_RUZYNE_Radar_120_520MHz_20201026_130708-B!000659-000859.wav,airfrans one zero eight zulu,ro foscar one so twoiett,ro foscar one so twoiett,,,,,0.7894370038993657,,
,Transcribe the English audio into text.,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000008_atco2_test-set-v3_en_LSZH_ZURICH_Tower_118_1MHz_20210414_080802-A!000009-000529.wav,"{""audio_name"": ""000008_atco2_test-set-v3_en_LSZH_ZURICH_Tower_118_1MHz_20210414_080802-A!000009-000529.wav"", ""audio_path"": ""/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000008_atco2_test-set-v3_en_LSZH_ZURICH_Tower_118_1MHz_20210414_080802-A!000009-000529.wav"", ""user_prompt"": ""Transcribe the English audio into text.""}",Qwen3-Omni-30B-A3B-Instruct + native-TP LoRA,Qwen/Qwen3-Omni-30B-A3B-Instruct,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/qwen3_omni_atco2_tp_capacity_v10_4/full10ep/tp_adapter,Post-FT Evaluation,ASR Only,000008_atco2_test-set-v3_en_LSZH_ZURICH_Tower_118_1MHz_20210414_080802-A!000009-000529.wav,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000008_atco2_test-set-v3_en_LSZH_ZURICH_Tower_118_1MHz_20210414_080802-A!000009-000529.wav,united one three five tower hello behind lufthansa line up runway two eight behind,united one three five tower hello behind the lift turn line up runway two eight cleared,united one three five tower hello behind the lift turn line up runway two eight cleared,,,,,1.4292962681502104,,
,Transcribe the English audio into text.,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000009_atco2_test-set-v3_en_YSSY_SYDNEY_Tower_120_5MHz_20210502_063423-B!000031-000409.wav,"{""audio_name"": ""000009_atco2_test-set-v3_en_YSSY_SYDNEY_Tower_120_5MHz_20210502_063423-B!000031-000409.wav"", ""audio_path"": ""/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000009_atco2_test-set-v3_en_YSSY_SYDNEY_Tower_120_5MHz_20210502_063423-B!000031-000409.wav"", ""user_prompt"": ""Transcribe the English audio into text.""}",Qwen3-Omni-30B-A3B-Instruct + native-TP LoRA,Qwen/Qwen3-Omni-30B-A3B-Instruct,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/qwen3_omni_atco2_tp_capacity_v10_4/full10ep/tp_adapter,Post-FT Evaluation,ASR Only,000009_atco2_test-set-v3_en_YSSY_SYDNEY_Tower_120_5MHz_20210502_063423-B!000031-000409.wav,/home/smgreen1/PycharmProjects/GEN_ATC_LLM_Scripts/Datasets/Y3/finetune_audio_cache/atco2_1hr/test/000009_atco2_test-set-v3_en_YSSY_SYDNEY_Tower_120_5MHz_20210502_063423-B!000031-000409.wav,runway three four left cleared to land quantas one forty six,runway three four left cleared to land qbro one forty six,runway three four left cleared to land qbro one forty six,,,,,1.2277432929258794,,
