Pipeline,audio_name,reference_transcript,predicted_transcript
ASR Only,000000_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210415_130747-A!000625-001150.wav,hotel bravo kilo golf yankee from november good afternoon next report breaking off a city circling three two one,hotel echo golf yankee fiveanta tower afternoon next report breaking off for descending three two one
ASR Only,000001_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210421_094113-A!000000-000705.wav,hotel golf papa unknown v_f_r traffic a helicopter at your eleven o'clock position two miles same altitude opposite direction,hotel golf papa and on we four traffic helicopter at your eleven o'clock position two miles same altitude opposite direction
ASR Only,000002_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210416_082152-A!000035-000575.wav,hotel golf papa continue on the runway vacate via charlie then taxi your discretion blue sector,hotel golf papa continue on the runway vacate via charlie then taxi euros question blue sector
ASR Only,000003_atco2_test-set-v3_en_LSGS_SION_Ground_Control_121_7MHz_20210504_155421-A!000007-000213.wav,nav_checker five one one good afternoon,h echo five one one good afternoon
ASR Only,000004_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210423_081639-A!000012-000646.wav,hotel golf oscar traffic rega helicopter just passed hotel echo joining the left hand heli circuit direction one four,hotel golf oscar traffic echo echo justlie pass hotel echo joining the left hand heli circuit direction one four
ASR Only,000005_atco2_test-set-v3_en_LSZH_ZURICH_Tower_118_1MHz_20210414_085908-A!000404-000927.wav,arrow_jet six zero one tower on foxtrot cross runway one zero contact apron one two one decimal seven five five sorry,hack sy six zero one tower on foxtrot cross runway one zero contact apron one two one decimal seven five five hotel
ASR Only,000006_atco2_test-set-v3_en_LKTB_BRNO_Approach-Radar_127_350MHz_20201027_095221-E!000000-000731.wav,oscar kilo bravo alfa lima after bukap descend to three thousand feet cleared r_n_p approach runway two seven report established,oscar kilo bravo alfa lima up tur descend two thousand thousand feet cleared to and peiros runway two seven report established
ASR Only,000007_atco2_test-set-v3_en_LKPR_RUZYNE_Radar_120_520MHz_20201026_130708-B!000659-000859.wav,airfrans one zero eight zulu,ro foscar one so twoiett
ASR Only,000008_atco2_test-set-v3_en_LSZH_ZURICH_Tower_118_1MHz_20210414_080802-A!000009-000529.wav,united one three five tower hello behind lufthansa line up runway two eight behind,united one three five tower hello behind the lift turn line up runway two eight cleared
ASR Only,000009_atco2_test-set-v3_en_YSSY_SYDNEY_Tower_120_5MHz_20210502_063423-B!000031-000409.wav,runway three four left cleared to land quantas one forty six,runway three four left cleared to land qbro one forty six
ASR Only,000010_atco2_test-set-v3_en_LSZB_BERN_Approach_127_3MHz_20210421_165346-B!000000-000343.wav,hotel delta lima runway vacated on delta,hotel hotel lima runway vacate the on delta
ASR Only,000011_atco2_test-set-v3_en_LKPR_RUZYNE_Radar_120_520MHz_20201026_204323-A!000285-000721.wav,u_p_s two nine five contact tower frequency one three four five six zero bye,u_p_s two nine five contact tower frequency six one three five taxi zero bye
ASR Only,000012_atco2_test-set-v3_en_LZIB_STEFANIK_Tower_118_3MHz_20210427_163922-B!000000-000258.wav,looking out for a traffic oscar mike kilo lima lima,looking looking out for a cross golf mike kil lima
ASR Only,000013_atco2_test-set-v3_en_LSZH_ZURICH_ApronS_121_75MHz_20210418_075050-A!000000-000944.wav,well there's marchall on it's way and <hes> in zurich it is handled like this all the time but it's any second with you,well there is a marslandveetsway way and the directurik it is handled like this all the time but
ASR Only,000014_atco2_test-set-v3_en_LSGS_SION_Ground_Control_121_7MHz_20210503_153923-B!000835-001364.wav,cleared for takeoff two five foxtrot delta uniform thanks november whiskey,sixared for takeoff two five foxtur apron UFO you are descend waiting standby uniform
ASR Only,000015_atco2_test-set-v3_en_LSGS_SION_Ground_Control_121_7MHz_20210503_150135-A!000744-001198.wav,sie- sierra golf kilo stop please hold position sorry sir hold position call you back,aff sierra golf kilo step please all positions soisu all position good back
ASR Only,000016_atco2_test-set-v3_en_LSZB_BERN_Approach_127_3MHz_20210414_072005-D!000006-000517.wav,<hes> departure with hotel bravo charlie quebec sierra out of five thousand four eight zero,turnapproved br hotel algerian clearedtics sierra out of five thousand four eight zero
ASR Only,000017_atco2_test-set-v3_en_LSGS_SION_Ground_Control_121_7MHz_20210423_170457-D!000010-000309.wav,hotel hotel lima november whiskey five thousand five hundred feet climbing,hotel hotel dividedan ro rub bravo five thousand five hundred feet climbing
ASR Only,000018_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210413_141529-B!000407-000708.wav,runway three two clear to land hotel x-ray,runway three two lima hotel nirates
ASR Only,000019_atco2_test-set-v3_en_LZIB_STEFANIK_Tower_118_3MHz_20210430_151209-A!000011-000646.wav,stefanik tower dobry_den_(greet) burg six nine two lima stop established runway three one six point five d_m_e,stafflic target dobryiana nine box six nine julimaster hotel stayres runway three one six point five million
ASR Only,000020_atco2_test-set-v3_en_LSGS_SION_Tower_118_3MHz_20210505_105333-A!000009-000200.wav,roger station calling please pass your message,roger station call lining please passion message
ASR Only,000021_atco2_test-set-v3_en_LZIB_STEFANIK_Tower_118_3MHz_20210429_202823-B!000383-000651.wav,startup own discretion eurotrans one three juliett,startup one discretion you transfer point three juliett
ASR Only,000022_atco2_test-set-v3_en_LZIB_STEFANIK_Tower_118_3MHz_20210504_120242-A!000000-000509.wav,-tel six zero three taxi to holding point runway one three via delta foxtrot,taxaxis six zero three taxi holding power runway one three via delta foxtrot
ASR Only,000023_atco2_test-set-v3_en_LSZB_BERN_Approach_127_3MHz_20210416_072155-A!000000-000900.wav,riga quebec lima traffic single engine at your ten o'clock position four miles crossing from left to right at five thousand five hundred feet,egger quebec lima traffic single engine at your ten o'clock position four miles crossing from left to right at five thousand five hundred feet
ASR Only,000024_atco2_test-set-v3_en_LSGS_SION_Ground_Control_121_7MHz_20210502_065138-D!000013-000516.wav,sion november seven one six alfa sierra alpine jet_ready for taxi,tion on november seven one alfa sierra airplanepine jet ready for taxi
ASR Only,000025_atco2_test-set-v3_en_LSZB_BERN_Tower_121_0MHz_20210423_091530-A!000204-000472.wav,are you aware that you're now inside the c_t_r of berne,hotel echo now the c_tt of bern
ASR Only,000026_atco2_test-set-v3_en_LSGS_SION_Ground_Control_121_7MHz_20210505_155803-A!000429-001032.wav,hotel tango alfa report passing one three thousand feet wind two six zero degrees one zero knots runway two five cleared for takeoff,hotel tango golf report passing one three thousand feet wind two six zero degrees one zero knots runway two five cleared for takeoff
ASR Only,000027_atco2_test-set-v3_en_LSZH_ZURICH_Tower_118_1MHz_20210414_135448-A!000011-000750.wav,hotel hotel x-ray vacacated at zero and to the right and contact apron one two one decimal seven five five bye bye,hotel hotel x-ray vacated at zero and to the right and apron one two one decimal seven five five sorry
ASR Only,000028_atco2_test-set-v3_en_LSGS_SION_Ground_Control_121_7MHz_20210503_141714-A!000273-000404.wav,thank you sir continue approach,thank you charlie apro for hotel
ASR Only,000029_atco2_test-set-v3_en_YSSY_SYDNEY_Tower_120_5MHz_20210501_084307-B!000012-000537.wav,roger <hes> continue approach <hes> expect to land vacate golf dynasty zero five one,hotel echo approach exp-ray delta negative vacate golf down stit euro five one
