Pipeline,audio_name,gold_transcript,predicted_transcript,gold_role,predicted_role
ASR + Role,LKPR_RUZYNE_Radar_120_520MHz_20201025_120512.wav,Oscar Kilo Kilo Echo Alfa Praha Radar identified climb flight level one hundred IFR flight starts now time zero five cleared to destination via flight plan route,Oscar Kilo Kilo Alpha Papa radar identified contact flight level one hundred IFR flight starts now time zero five quit to destination via flight plan route,ATC,ATC
ASR + Role,LKPR_RUZYNE_Radar_120_520MHz_20201025_213836.wav,Skytravel Two Eight Two Seven and there is closed echo airspace below flight level one hundred so if you wish to avoid class echo airspace next descend in two zero miles,Skytravel Two Eight Two Seven and there is close echo space below flight level one hundred so if you wish to avoid close echo space next descend in two zero miles,ATC,ATC
ASR + Role,LKPR_RUZYNE_Radar_120_520MHz_20201026_142311.wav,Ryanair Nine Two Bravo Quebec turn right heading zero nine zero nine zero degrees Ryanair Nine Two Bravo Quebec,Nine hundred feet go around and then descend to flight level nine hundred Qantas Nine Hundred,ATC,Pilot
ASR + Role,LKPR_RUZYNE_Radar_120_520MHz_20201027_125731.wav,one one eight decimal one Six Five Zero that's it bye bye děkujem na slyšenou na slyšenou,one one eight decimal six five zero,Other,Other
ASR + Role,LKPR_RUZYNE_Radar_120_520MHz_20201029_151332.wav,Oscar Kilo Mike Charlie Charlie Praha Radar dobry den you are identified flight level seven zero after Baltu proceed to Benesov,,ATC,
ASR + Role,LKPR_RUZYNE_Tower_134_560MHz_20201025_090915.wav,say again the departure we for us it is Baltu four alfa to climb five thousand feet,Oscar Kilo Echo Delta you may proceed via speak for authorisation,ATC,ATC
ASR + Role,LKPR_RUZYNE_Tower_134_560MHz_20201025_144043.wav,Ruzyne Tower hello again Eurowings One Tango Kilo Eurowings One Tango Kilo Ruzyne Tower good afternoon go ahead just a question do you think there any chance to get runway two four for departure unfortunately with delay because there are five aircraft on runway zero six landing okay copy thank you,Uh just a question do you think there is a chance for us to get runway two four for departure,Pilot,ATC
ASR + Role,LKPR_RUZYNE_Tower_134_560MHz_20201026_160035.wav,Silesia Seven Six Two continue Charlie Lima Quebec Quebec Five behind follow me stand mike one bravo,Sierra Six Two continue charlie lima Quebec Quebec Five Bairfor me stand mike one bravo,ATC,ATC
ASR + Role,LKPR_RUZYNE_Tower_134_560MHz_20201027_135224.wav,Ryan Air One Bravo Alfa startup is approved startup approved Ryan Air One Bravo Alfa,Hotel Papa Qantas Nine One Zero Qantas Nine One Zero thank you very much,ATC,Pilot
ASR + Role,LKTB_BRNO_Approach-Radar_127_350MHz_20201029_101954.wav,Sierra Papa Foxtrot Lima Foxtrot contact Wien Radar one two five decimal one seven five good bye,Sierra Papa Foxtrot Lima Foxtrot contact Vienna radar one two five decimal one seven five good bye,Other,ATC
ASR + Role,LKTB_BRNO_Tower_119_605MHz_20201027_122331.wav,Romeo Alfa Zero One Eight One Seven your flight plan was suspended i am sending delay message,number alpha zero one eight one seven your flight plan was suspended i am sending delay message,ATC,ATC
ASR + Role,LKTB_BRNO_Tower_119_605MHz_20201028_140518.wav,Oskar Kilo Whiskey November Lima information exprite vacating via bravo and taxi to foxtrot bravo affirm,Oscar Kilo Whiskey November Lima formation escort right vacating Bravo and taxi to foxtrot bravo farm,Other,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210419_153441.wav,Two Bravo Sierra to the left taxi with,,ATC,
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210421_143604.wav,Hotel Hotel X-ray go around Hotel X-ray,Hotel Bravo Juliett confirm your route Hotel Bravo Juliett,Other,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210422_083102.wav,Hotel Foxtrot Oscar Echo One at six thousand feet Foxtrot Oscar report echo two for runway two five,Foxtrot Oscar report echo tower for runway two five full,Other,ATC
